Date,Open,High,Low,Close,Adj Close,Volume
2016-08-04,67800.000000,68350.000000,67650.000000,68350.000000,66633.234375,58352
2016-08-05,69750.000000,70450.000000,69750.000000,70400.000000,68631.757813,21249
2016-08-08,70650.000000,70700.000000,70050.000000,70100.000000,68339.289063,15929
2016-08-09,70450.000000,70900.000000,70450.000000,70750.000000,68972.968750,15556
2016-08-10,69850.000000,71162.000000,69650.000000,69900.000000,68144.312500,21509
2016-08-11,70550.000000,70750.000000,70350.000000,70400.000000,68631.757813,20367
2016-08-12,69750.000000,69950.000000,69200.000000,69250.000000,67510.632813,16062
2016-08-15,69800.000000,70400.000000,69700.000000,70400.000000,68631.757813,10790
2016-08-16,71300.000000,71750.000000,71200.000000,71600.000000,69801.609375,22190
2016-08-17,70200.000000,70570.296875,69950.000000,70150.000000,68388.039063,14127
2016-08-18,73150.000000,73750.000000,61143.601563,73300.000000,71458.914063,31724
2016-08-19,74400.000000,75050.000000,74200.000000,75050.000000,73164.953125,71232
2016-08-22,73750.000000,74000.000000,73600.000000,73600.000000,71751.382813,15639
2016-08-23,75000.000000,75150.000000,74775.000000,75000.000000,73116.210938,36814
2016-08-24,73250.000000,73877.296875,73200.000000,73300.000000,71458.914063,13413
2016-08-25,72900.000000,73600.000000,72300.000000,72800.000000,70971.468750,58235
2016-08-26,72000.000000,73050.000000,71850.000000,73000.000000,71166.453125,25337
2016-08-30,73050.000000,73750.000000,73050.000000,73750.000000,71897.609375,17842
2016-08-31,72950.000000,72950.000000,72000.000000,72300.000000,70484.031250,26316
2016-09-01,70350.000000,72300.000000,70300.000000,71500.000000,69704.132813,36302
2016-09-02,72300.000000,72300.000000,70900.000000,71550.000000,69752.867188,46289
2016-09-05,72200.000000,72300.000000,71154.898438,72150.000000,70337.796875,25045
2016-09-06,73800.000000,74050.000000,72095.296875,74050.000000,72190.070313,19004
2016-09-07,73900.000000,74550.000000,73800.000000,74550.000000,72677.523438,39900
2016-09-08,74400.000000,74600.000000,74000.000000,74100.000000,72238.820313,13065
2016-09-09,71100.000000,71985.898438,69150.000000,70350.000000,68583.007813,27645
2016-09-12,66000.000000,67183.898438,64750.000000,66600.000000,64927.203125,56467
2016-09-13,68000.000000,68400.000000,67100.000000,67100.000000,65414.640625,39482
2016-09-14,67950.000000,68450.000000,67400.000000,68150.000000,66438.265625,18649
2016-09-15,67750.000000,68150.000000,67450.000000,67500.000000,65804.593750,65633
2016-09-16,67600.000000,68500.000000,67250.000000,67300.000000,65609.609375,70815
2016-09-19,69150.000000,69900.000000,68950.000000,69200.000000,67461.890625,29526
2016-09-20,70400.000000,70900.000000,70000.000000,70600.000000,68826.734375,46818
2016-09-21,71000.000000,71250.000000,70800.000000,71100.000000,69314.171875,19752
2016-09-22,73000.000000,74330.000000,72900.000000,73000.000000,71166.453125,32791
2016-09-23,70900.000000,71273.101563,69700.000000,69900.000000,68144.312500,40798
2016-09-26,70300.000000,70758.101563,68650.000000,69400.000000,67656.867188,41444
2016-09-27,71250.000000,71450.000000,70600.000000,70600.000000,68826.734375,26733
2016-09-28,71100.000000,71422.101563,70700.000000,71150.000000,69362.914063,23719
2016-09-29,72400.000000,73348.703125,72250.000000,72350.000000,70532.781250,23563
2016-09-30,72150.000000,72750.000000,71800.000000,72250.000000,70435.289063,16132
2016-10-03,72650.000000,73300.000000,72600.000000,73250.000000,71410.164063,17357
2016-10-04,72800.000000,72950.000000,72500.000000,72550.000000,70727.750000,35454
2016-10-05,72400.000000,74461.500000,72400.000000,74350.000000,72482.539063,62869
2016-10-06,75600.000000,75800.000000,74200.000000,75500.000000,73603.656250,53716
2016-10-07,76000.000000,76500.000000,75973.296875,76300.000000,74383.562500,46666
2016-10-10,74800.000000,75600.000000,74100.000000,74600.000000,72726.257813,55044
2016-10-11,68200.000000,70909.898438,67050.000000,67050.000000,65365.890625,93622
2016-10-12,67950.000000,68638.796875,65550.000000,67800.000000,66097.054688,76398
2016-10-13,68150.000000,69750.000000,66000.000000,67800.000000,66097.054688,75581
2016-10-14,69350.000000,69600.000000,69100.000000,69600.000000,67851.851563,62020
2016-10-17,69400.000000,70000.000000,69300.000000,70000.000000,68241.804688,20166
