엘에이티,311060,특수 목적용 기계 제조업,2018-12-28,12
에어부산,298690,항공 여객 운송업,2018-12-27,12
비피도,238200,기타 식품 제조업,2018-12-26,12
지놈앤컴퍼니,314130,기초 의약물질 및 생물학적 제제 제조업,2018-12-26,12
키움제5호스팩,311270,금융 지원 서비스업,2018-12-26,12
엔에이치스팩13호,310840,금융 지원 서비스업,2018-12-24,12
유틸렉스,263050,기초 의약물질 및 생물학적 제제 제조업,2018-12-24,12
디케이티,290550,전자부품 제조업,2018-12-21,12
아이엘사이언스,307180,전구 및 조명장치 제조업,2018-12-21,12
애니플러스,310200,영화| 비디오물| 방송프로그램 제작 및 배급업,2018-12-21,12
테크엔,308700,전구 및 조명장치 제조업,2018-12-21,12
삼성머스트스팩3호,309930,금융 지원 서비스업,2018-12-20,12
위지윅스튜디오,299900,영화| 비디오물| 방송프로그램 제작 및 배급업,2018-12-20,12
한국제8호스팩,310870,금융 지원 서비스업,2018-12-20,12
대신밸런스제6호스팩,307750,금융 지원 서비스업,2018-12-19,12
에이비엘바이오,298380,기초 의약물질 및 생물학적 제제 제조업,2018-12-19,12
프로테옴텍,303360,의료용품 및 기타 의약 관련제품 제조업,2018-12-19,12
머큐리,100590,통신 및 방송 장비 제조업,2018-12-14,12
전진바이오팜,110020,기타 화학제품 제조업,2018-12-14,12
뉴트리,270870,기타 식품 제조업,2018-12-13,12
상상인이안1호스팩,307870,금융 지원 서비스업,2018-12-12,12
이노메트리,302430,특수 목적용 기계 제조업,2018-12-12,12
SK4호스팩,307070,금융 지원 서비스업,2018-12-07,12
대유에이피,290120,자동차 신품 부품 제조업,2018-12-07,12
교보8호스팩,307280,금융 지원 서비스업,2018-12-05,12
에코캡,128540,자동차 신품 부품 제조업,2018-12-05,12
베스파,299910,소프트웨어 개발 및 공급업,2018-12-03,12
비엔에프코퍼레이션,271780,1차 비철금속 제조업,2018-11-30,12
윙입푸드,900340,기타 금융업,2018-11-30,12
하나머스트제6호스팩,307160,금융 지원 서비스업,2018-11-30,12
남화산업,111710,스포츠 서비스업,2018-11-29,12
엠아이텍,179290,의료용 기기 제조업,2018-11-29,12
티로보틱스,117730,특수 목적용 기계 제조업,2018-11-29,12
네오펙트,290660,의료용 기기 제조업,2018-11-28,12
에이펙스인텍,207490,전구 및 조명장치 제조업,2018-11-28,12
티앤알바이오팹,246710,기초 의약물질 및 생물학적 제제 제조업,2018-11-28,12
나라소프트,288490,소프트웨어 개발 및 공급업,2018-11-23,12
아시아나IDT,267850,컴퓨터 프로그래밍| 시스템 통합 및 관리업,2018-11-23,12
디알젬,263690,의료용 기기 제조업,2018-11-22,12
싸이토젠,217330,자연과학 및 공학 연구개발업,2018-11-22,12
아주IB투자,027360,기타 금융업,2018-11-21,12
파멥신,208340,의약품 제조업,2018-11-21,12
디케이앤디,263020,플라스틱제품 제조업,2018-11-20,12
디자인,227100,전동기| 발전기 및 전기 변환 · 공급 · 제어 장치 제조업,2018-11-15,12
노바렉스,194700,기타 식품 제조업,2018-11-14,12
셀리버리,268600,자연과학 및 공학 연구개발업,2018-11-09,12
대보마그네틱,290670,기타 전기장비 제조업,2018-11-06,12
노바텍,285490,그외 기타 제품 제조업,2018-11-02,12
엘앤씨바이오,290650,의약품 제조업,2018-11-01,12
네온테크,306620,특수 목적용 기계 제조업,2018-10-31,12
로보티즈,108490,특수 목적용 기계 제조업,2018-10-26,12
옵티팜,153710,의료용품 및 기타 의약 관련제품 제조업,2018-10-26,12
에스퓨얼셀,288620,전동기| 발전기 및 전기 변환 · 공급 · 제어 장치 제조업,2018-10-15,12
세아제강,306200,1차 철강 제조업,2018-10-05,12
나우IB,293580,기타 금융업,2018-10-04,12
푸드나무,290720,무점포 소매업,2018-10-04,12
하나제약,293480,의약품 제조업,2018-10-02,12
크리스에프앤씨,110790,봉제의복 제조업,2018-10-01,12
IBKS제10호스팩,299170,금융 지원 서비스업,2018-09-21,12
지티지웰니스,219750,의료용 기기 제조업,2018-09-21,12
우진아이엔에스,010400,건물설비 설치 공사업,2018-09-14,12
명성티엔에스,257370,특수 목적용 기계 제조업,2018-09-13,12
삼성스팩2호,291230,금융 지원 서비스업,2018-09-13,12
엔솔바이오사이언스,140610,자연과학 및 공학 연구개발업,2018-09-10,12
디지캡,197140,소프트웨어 개발 및 공급업,2018-09-07,12
지니틱스,303030,반도체 제조업,2018-08-30,12
액트로,290740,전자부품 제조업,2018-08-28,12
오파스넷,173130,컴퓨터 프로그래밍| 시스템 통합 및 관리업,2018-08-24,12
에이피티씨,089970,특수 목적용 기계 제조업,2018-08-23,12
바이오솔루션,086820,기초 의약물질 및 생물학적 제제 제조업,2018-08-20,12
더콘텐츠온,302920,영화| 비디오물| 방송프로그램 제작 및 배급업,2018-08-13,12
대유,290380,비료| 농약 및 살균| 살충제 제조업,2018-08-10,12
신한알파리츠,293940,부동산 임대 및 공급업,2018-08-08,3
디아이티,110990,특수 목적용 기계 제조업,2018-08-07,12
에스에스알,275630,소프트웨어 개발 및 공급업,2018-08-06,12
한일시멘트,300720,시멘트| 석회| 플라스터 및 그 제품 제조업,2018-08-06,12
휴네시온,290270,소프트웨어 개발 및 공급업,2018-08-02,12
티웨이항공,091810,항공 여객 운송업,2018-08-01,12
롯데정보통신,286940,컴퓨터 프로그래밍| 시스템 통합 및 관리업,2018-07-27,12
한국유니온제약,080720,의약품 제조업,2018-07-26,12
그리티,204020,봉제의복 제조업,2018-07-23,12
알로이스,297570,통신 및 방송 장비 제조업,2018-07-20,12
올릭스,226950,자연과학 및 공학 연구개발업,2018-07-18,12
테크트랜스,258050,기타 금속 가공제품 제조업,2018-07-13,12
효성중공업,298040,전동기| 발전기 및 전기 변환 · 공급 · 제어 장치 제조업,2018-07-13,12
효성첨단소재,298050,화학섬유 제조업,2018-07-13,12
효성티앤씨,298020,화학섬유 제조업,2018-07-13,12
효성화학,298000,기초 화학물질 제조업,2018-07-13,12
아이큐어,175250,의약품 제조업,2018-07-12,12
SV인베스트먼트,289080,기타 금융업,2018-07-06,3
